acceptedname,authority,uri,AI,BM,KY,MS,VG,TC,TC_discrep
Callitriche stagnalis,Scop.,http://www.tropicos.org/Name/5200004,0,0,0,0,0,0,0
Calluna vulgaris,(L.) Hull,http://www.tropicos.org/Name/12300012,0,0,0,0,0,0,0
Calophyllum inophyllum,L.,http://www.tropicos.org/Name/7800684,0,0,0,0,0,0,0
Calopogonium mucunoides,Desv.,http://www.tropicos.org/Name/13045056,0,0,0,1,0,0,0
Calotropis,R. Br.,http://www.tropicos.org/Name/40035662,0,0,0,1,0,0,0
Calotropis procera,(Aiton) W.T. Aiton,http://www.tropicos.org/Name/2603214,0,0,0,1,0,1,-1
Caltha palustris,L.,http://www.tropicos.org/Name/27100074,0,0,0,0,0,0,0
Calyptocarpus vialis,Less.,http://www.tropicos.org/Name/2717254,0,0,0,0,0,0,0
Campanula rapunculoides,L.,http://www.tropicos.org/Name/5500815,0,0,0,0,0,0,0
Campanula rotundifolia,L.,http://www.tropicos.org/Name/5501631,0,0,0,0,0,0,0
Canavalia cathartica,Thouars,http://www.tropicos.org/Name/13027785,0,0,0,0,0,0,0
Canavalia sericea,A. Gray,http://www.tropicos.org/Name/13027819,0,0,0,0,0,0,0
Canna indica,L.,http://www.tropicos.org/Name/5800006,1,1,0,0,0,1,-1
Cannabis sativa,L.,http://www.tropicos.org/Name/21302042,0,0,0,0,0,1,-1
Canotia holacantha,Torr.,http://www.tropicos.org/Name/6600080,0,0,0,0,0,0,0
Capsicum annuum,L.,http://www.tropicos.org/Name/29600002,0,1,1,1,1,1,0
Capsicum annuum,L.,http://www.tropicos.org/Name/29600002,0,1,0,1,1,0,0
Caragana arborescens,Lam.,http://www.tropicos.org/Name/13049161,0,0,0,0,0,0,0
Cardamine flexuosa,With.,http://www.tropicos.org/Name/4100093,0,0,0,0,0,0,0
Cardamine hirsuta,L.,http://www.tropicos.org/Name/4100096,0,0,0,0,0,0,0
